YEAR,Rk,Team,Conf,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Age,PW,PL,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
2018,28,Chicago Bulls,E,27,55,0.329,-7.04,104.39,111.61,-7.22,-6.84,104.46,111.47,-7.01,24.4,23,59,0.2,-6.84,103.8,110.9,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,United Center,"851,824","20,776"
2004,21,Phoenix Suns,W,29,53,0.354,-3.74,102.33,106.35,-4.02,-2.94,102.5,105.65,-3.14,24.4,30,52,0.8,-2.94,101.4,105.5,92.6,0.28,0.18,0.515,0.475,14.3,26.6,0.209,0.482,14.7,69.9,0.24,America West Arena,"670,385","16,351"
2007,26,Portland Trail Blazers,W,32,50,0.39,-4.29,105.94,110.79,-4.85,-3.78,106.13,110.42,-4.29,24.4,29,53,0.51,-3.78,105.1,109.9,88.3,0.314,0.193,0.53,0.483,14.5,28.2,0.241,0.508,13.5,73,0.267,Rose Garden Arena,"670,778","16,360"
2012,21,Minnesota Timberwolves,W,26,40,0.394,-2.2,104.85,107,-2.15,-1.83,104.65,106.4,-1.75,24.4,28,38,0.37,-1.83,104.3,106.6,93.3,0.306,0.262,0.524,0.477,14,27.5,0.236,0.491,12.2,73,0.187,Target Center,"577,197","17,491"
2013,21,Portland Trail Blazers,W,33,49,0.402,-3.17,106.21,109.77,-3.56,-2.52,106.45,109.3,-2.85,24.4,32,50,0.65,-2.53,105.8,109.2,91.4,0.25,0.284,0.536,0.498,13.9,25.3,0.194,0.512,12.5,73.3,0.189,Rose Garden Arena,"813,012","19,830"
2003,18,Golden State Warriors,W,38,44,0.463,-1.13,109.01,110.1,-1.09,-0.59,109.45,109.96,-0.51,24.4,38,44,0.54,-0.6,108.3,109.5,94.2,0.343,0.178,0.526,0.472,13.9,35,0.267,0.482,12.2,67.9,0.22,The Arena in Oakland,"634,935","15,486"
2002,16,Los Angeles Clippers,W,39,43,0.476,-0.46,106.49,106.87,-0.38,-0.09,106.51,106.47,0.05,24.4,40,42,0.38,-0.09,105.5,106,90.1,0.304,0.172,0.519,0.476,13.8,31.3,0.225,0.477,12.1,69.9,0.194,STAPLES Center,"740,185","18,053"
2013,8,Houston Rockets,W,45,37,0.549,3.48,110.42,106.67,3.75,3.69,110.51,106.52,3.99,24.4,50,32,0.22,3.69,109.7,106.1,96.1,0.308,0.349,0.564,0.525,14.9,26.4,0.232,0.502,13.5,75.2,0.196,Toyota Center,"683,564","16,672"
2012,30,Charlotte Bobcats,E,7,59,0.106,-13.91,95.85,111.26,-15.41,-13.96,96.12,111.59,-15.46,24.5,7,59,-0.05,-13.96,95.2,110.4,91.1,0.276,0.169,0.483,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206,Time Warner Cable Arena,"486,984","14,757"
2008,24,Memphis Grizzlies,W,22,60,0.268,-6.21,105.44,112.07,-6.62,-5.75,105.72,111.86,-6.14,24.5,25,57,0.45,-5.76,105,111.4,95.3,0.311,0.264,0.539,0.5,14,23.8,0.225,0.521,12.2,73.4,0.196,FedEx Forum,"523,578","12,770"
